Pression, tour moteur, température, AFR, Duréé injection, Papillon, Cible AFR, Cor AFR 
52.20 , 1031 , 42 , 151.00 , 5802.36 , 20.00 , 105.00 , 0.94
55.94 , 1035 , 42 , 151.00 , 5806.03 , 22.00 , 105.00 , 0.94
58.44 , 1101 , 42 , 152.00 , 5866.82 , 23.00 , 105.00 , 0.94
61.24 , 1138 , 42 , 152.00 , 5912.04 , 25.00 , 105.00 , 0.94
62.80 , 1211 , 42 , 154.00 , 6001.24 , 26.00 , 105.00 , 0.94
63.42 , 1251 , 42 , 154.00 , 6050.12 , 26.00 , 105.00 , 0.94
62.49 , 1303 , 42 , 159.00 , 6113.67 , 27.00 , 105.00 , 0.94
60.62 , 1443 , 42 , 159.00 , 6284.75 , 26.00 , 105.00 , 0.94
60.31 , 1399 , 42 , 165.00 , 6230.98 , 26.00 , 105.00 , 0.94
60.31 , 1418 , 42 , 165.00 , 6254.20 , 26.00 , 105.00 , 0.94
57.81 , 1466 , 42 , 165.00 , 6312.85 , 26.00 , 105.00 , 0.94
59.37 , 1452 , 42 , 165.00 , 6295.74 , 27.00 , 105.00 , 0.94
57.81 , 1573 , 42 , 163.00 , 6399.00 , 27.00 , 105.00 , 0.94
58.75 , 1548 , 42 , 163.00 , 6383.73 , 27.00 , 105.00 , 0.94
57.50 , 1627 , 42 , 160.00 , 6432.00 , 27.00 , 105.00 , 0.94
56.57 , 1673 , 42 , 160.00 , 6460.10 , 27.00 , 105.00 , 0.94
55.32 , 1694 , 42 , 160.00 , 6472.93 , 27.00 , 105.00 , 0.94
55.32 , 1707 , 42 , 160.00 , 6480.88 , 27.00 , 105.00 , 0.94
54.07 , 1770 , 42 , 158.00 , 6519.37 , 27.00 , 105.00 , 0.94
55.01 , 1747 , 42 , 158.00 , 6505.32 , 27.00 , 105.00 , 0.94
53.45 , 1853 , 42 , 155.00 , 6570.08 , 27.00 , 105.00 , 0.94
53.45 , 1848 , 42 , 155.00 , 6567.03 , 27.00 , 105.00 , 0.94
52.83 , 1841 , 42 , 154.00 , 6562.75 , 27.00 , 105.00 , 0.94
52.52 , 1908 , 42 , 154.00 , 6603.69 , 27.00 , 105.00 , 0.94
52.83 , 1870 , 42 , 154.00 , 6580.47 , 27.00 , 105.00 , 0.94
52.52 , 1924 , 42 , 154.00 , 6613.46 , 28.00 , 105.00 , 0.94
52.20 , 1945 , 42 , 152.00 , 6626.29 , 28.00 , 105.00 , 0.94
52.83 , 1893 , 42 , 152.00 , 6594.52 , 28.00 , 105.00 , 0.94
52.83 , 1931 , 42 , 152.00 , 6617.74 , 28.00 , 105.00 , 0.94
54.07 , 1958 , 42 , 152.00 , 6634.24 , 29.00 , 105.00 , 0.94
52.52 , 2040 , 42 , 152.00 , 6684.34 , 28.00 , 105.00 , 0.94
53.45 , 2006 , 42 , 152.00 , 6663.57 , 29.00 , 105.00 , 0.94
53.45 , 2067 , 42 , 152.00 , 6700.84 , 29.00 , 105.00 , 0.94
54.39 , 2017 , 42 , 152.00 , 6670.29 , 29.00 , 105.00 , 0.94
53.45 , 2072 , 42 , 152.00 , 6703.89 , 29.00 , 105.00 , 0.94
53.76 , 2105 , 42 , 152.00 , 6724.06 , 29.00 , 105.00 , 0.94
55.32 , 2030 , 42 , 152.00 , 6678.23 , 30.00 , 105.00 , 0.94
56.88 , 2083 , 42 , 152.00 , 6710.61 , 30.00 , 105.00 , 0.94
56.57 , 2104 , 42 , 153.00 , 6723.44 , 31.00 , 105.00 , 0.94
56.26 , 2119 , 42 , 153.00 , 6732.61 , 30.00 , 105.00 , 0.94
57.19 , 2123 , 42 , 153.00 , 6735.05 , 31.00 , 105.00 , 0.94
58.75 , 2127 , 42 , 153.00 , 6737.50 , 32.00 , 105.00 , 0.94
58.13 , 2125 , 42 , 152.00 , 6736.27 , 32.00 , 105.00 , 0.94
58.75 , 2131 , 42 , 152.00 , 6739.94 , 31.00 , 105.00 , 0.94
57.81 , 2126 , 42 , 152.00 , 6736.89 , 32.00 , 105.00 , 0.94
58.13 , 2129 , 42 , 152.00 , 6738.72 , 32.00 , 105.00 , 0.94
57.50 , 2224 , 42 , 152.00 , 6796.76 , 31.00 , 105.00 , 0.94
56.57 , 2176 , 42 , 152.00 , 6767.44 , 30.00 , 105.00 , 0.94
55.01 , 2148 , 42 , 152.00 , 6750.33 , 29.00 , 105.00 , 0.94
54.39 , 2141 , 42 , 152.00 , 6746.05 , 29.00 , 105.00 , 0.94
51.89 , 2231 , 42 , 151.00 , 6801.04 , 27.00 , 105.00 , 0.94
49.09 , 2088 , 42 , 151.00 , 5982.91 , 26.00 , 105.00 , 0.94
47.53 , 2108 , 42 , 152.00 , 5991.06 , 26.00 , 105.00 , 0.94
48.47 , 2041 , 42 , 152.00 , 5995.49 , 25.00 , 105.00 , 0.95
45.97 , 2084 , 42 , 152.00 , 5981.28 , 25.00 , 105.00 , 0.94
45.97 , 2029 , 42 , 152.00 , 5990.58 , 24.00 , 105.00 , 0.95
46.28 , 1925 , 42 , 159.00 , 5916.52 , 24.00 , 105.00 , 0.94
46.60 , 1955 , 42 , 159.00 , 5928.74 , 24.00 , 105.00 , 0.94
46.60 , 1895 , 42 , 154.00 , 5904.30 , 24.00 , 105.00 , 0.94
